AppName,TCID,STATUS,EXEDATE,RCA  ,Unnamed: 5
OnePlan,7,Fail,08.24.19,STG2.0|while var >! 0:  |var=balance|validation,PROD2.0
OnePlan,13,Fail,06.02.19,UAT2.0|form.submit(name[0])|name=get(name.values)|retriving,DEV2.0
OnePlan,23,Pass,05.31.19,"DEV2.3|plt.plot(q,r)|q,r =(t.height,t.weight)|plotting",PROD2.0
OnePlan,28,Fail,04.23.19,"UAT2.0|add(balance,tranc):|balance=address.getvalue();|updating balance",DEV2.0
OnePlan,41,Pass,08.18.19,UAT2.3|values=list(names)|names=set(names.keys)|retriving,UAT2.0
OnePlan,46,Fail,09.26.19,"STG2.0|for i in range(0,len(book))|book=list(transactions)|looping",DEV2.0
OnePlan,52,Fail,05.20.19,"UAT2.0|for y,z in list:|list=(df.weight, df.shape[1])|looping",DEV2.0
OnePlan,56,Pass,04.13.19,UAT2.3|form.submit(name[0])|name=get(name.values)|retriving,UAT2.0
OnePlan,60,Pass,07.27.19,STG2.3|print(bal)|bal=np.nan|printing,PROD2.0
OnePlan,61,Fail,04.09.19,"STG2.0|for i in Age|i={name,age}|looping",STG2.0
OnePlan,69,Fail,08.26.19,"DEV2.0|for val in ""str1"": |str=tranc('title')|iteration",DEV2.0
OnePlan,75,Pass,06.08.19,"DEV2.3|for val in ""str1"": |str=tranc('title')|iteration",STG2.0
OnePlan,84,Fail,04.20.19,PROD2.0|for i in n:|i++|looping,STG2.0
OnePlan,88,Pass,05.04.19,"PROD2.3|uname=account.get(name)|account.name=""hjkma""|Coloring",PROD2.0
OnePlan,107,Pass,05.03.19,UAT2.3|if i<8|i=0|decision control,STG2.0
OnePlan,137,Fail,06.21.19,"DEV2.0| for x,d in tup:| tup=(data.Height, data.shape[0])|looping",STG2.0
OnePlan,143,Fail,05.14.19,STG2.0| if i>5 |i=6 |decision control,UAT2.0
OnePlan,166,Pass,09.01.19,"DEV2.3|data = pd.read_csv(usecase)|usecase=""file.csv""|reading",DEV2.0
OnePlan,167,Fail,04.14.19,PROD2.0|fig.shape()|fig=fg.plot(df)|vizualisation,PROD2.0
OnePlan,169,Fail,04.12.19,UAT2.0|values=list(names)|names=set(names.keys)|retriving,DEV2.0
OnePlan,171,Pass,06.13.19,"DEV2.3|df = df[df['Android'] != np.nan]|Android={version:v,value:2}|renaming",STG2.0
OnePlan,180,Fail,04.16.19,"STG2.0|for i in range(0,bal)|bal=tuple(tran)|looping",PROD2.0
OnePlan,190,Fail,07.21.19,"UAT2.0|add(balance,tranc):|balance=address.getvalue();|updating balance",DEV2.0
VPlan,1,Pass,07.30.19,"UAT2.3|if key==""password"":|password=""admin""|authenticate",UAT2.0
VPlan,2,Fail,07.29.19,STG2.0| if i>5 |i=6 |decision control,UAT2.0
VPlan,3,Pass,08.13.19,"UAT2.3|if key==""password"":|password=""admin""|authenticate",PROD2.0
VPlan,4,Fail,06.22.19,"DEV2.0| for x,d in tup:| tup=(data.Height, data.shape[0])|looping",PROD2.0
VPlan,8,Pass,07.25.19,"DEV2.3|plt.plot(q,r)|q,r =(t.height,t.weight)|plotting",UAT2.0
VPlan,13,Pass,08.15.19,DEV2.3|print(a)|a=transaction.address|retrive data,UAT2.0
VPlan,19,Fail,06.08.19,"UAT2.0|add(balance,tranc):|balance=address.getvalue();|updating balance",UAT2.0
VPlan,21,Pass,09.22.19,"DEV2.3|print(data.[""Name""])|Name=123456|retrive data",DEV2.0
VPlan,22,Pass,08.21.19,"DEV2.3|for val in ""str1"": |str=tranc('title')|iteration",UAT2.0
VPlan,24,Fail,04.16.19,"UAT2.0|add(balance,tranc):|balance=address.getvalue();|updating balance",DEV2.0
VPlan,27,Fail,09.11.19,"DEV2.0|plt.plot(q,r)|q,r =(t.height,t.weight)|plotting",STG2.0
VPlan,40,Fail,04.21.19,"PROD2.0|plt.show(x,y)|x,y=(tr.address,tr.keys)|visualising",DEV2.0
VPlan,46,Pass,05.23.19,"STG2.3|for x in range(10,len(dir))|dir=tuple(tran)|looping",PROD2.0
VPlan,51,Fail,05.13.19,"UAT2.0|if name==""input"":|input=""John""|validation",PROD2.0
VPlan,53,Fail,09.22.19,STG2.0|while var >! 0:  |var=balance|validation,DEV2.0
VPlan,56,Fail,09.16.19,"STG2.0|for i,j in range()|j=dict(age)|looping",PROD2.0
VPlan,69,Pass,08.06.19,"STG2.3|for i,j in range()|j=dict(age)|looping",DEV2.0
