AppName,TCID,STATUS,EXEDATE,ENV|CODE|DATA|REQ
OnePlan,1,Fail,07.24.19,"STG2.0|for i in Age|i={name,age}|looping"
OnePlan,2,Fail,09.24.19,"UAT2.0|if key==""password"":|password=""admin""|authenticate"
OnePlan,3,Fail,04.17.19,"PROD2.0|client.post_telemetry(navsat_msg, compass_msg)|client=""solidity_tran.sol""|replacing"
OnePlan,4,Pass,04.18.19,
OnePlan,5,Pass,07.21.19,
OnePlan,6,Pass,09.01.19,
OnePlan,7,Fail,08.24.19,STG2.0|while var >! 0:  |var=balance|validation
OnePlan,8,Pass,04.24.19,
OnePlan,9,Pass,09.29.19,
OnePlan,10,Pass,05.22.19,
OnePlan,11,Pass,05.10.19,
OnePlan,12,Fail,08.18.19,"DEV2.0|print(""sum is"",a+b)|a=b=nan|retrive data"
OnePlan,13,Fail,06.02.19,UAT2.0|form.submit(name[0])|name=get(name.values)|retriving
OnePlan,14,Pass,06.27.19,
OnePlan,15,Pass,06.14.19,
OnePlan,16,Fail,06.17.19,"DEV2.0|plt.show(a,d)|a,d=(df.keys,df.values)|plotting"
OnePlan,17,Pass,08.05.19,
OnePlan,18,Fail,04.26.19,STG2.0| if i>5 |i=6 |decision control
OnePlan,19,Pass,04.16.19,
OnePlan,20,Pass,05.11.19,
OnePlan,21,Pass,09.23.19,
OnePlan,22,Pass,08.23.19,
OnePlan,23,Fail,05.31.19,"DEV2.0|plt.plot(q,r)|q,r =(t.height,t.weight)|plotting"
OnePlan,24,Fail,08.29.19,"STG2.0|if value==""username"":|username=""user""|authenticate"
OnePlan,25,Fail,08.08.19,"DEV2.0| for x,d in tup:| tup=(data.Height, data.shape[0])|looping"
OnePlan,26,Pass,09.27.19,
OnePlan,27,Pass,05.19.19,
OnePlan,28,Fail,04.23.19,"UAT2.0|add(balance,tranc):|balance=address.getvalue();|updating balance"
OnePlan,29,Fail,06.01.19,"PROD2.0|data.replace(data.Name, 'NA')|Name=nan|manipulating data"
OnePlan,30,Fail,09.17.19,"DEV2.0|for val in ""str1"": |str=tranc('title')|iteration"
OnePlan,31,Pass,07.21.19,
OnePlan,32,Pass,05.30.19,
OnePlan,33,Fail,08.10.19,"DEV2.0|plt.plot(q,r)|q,r =(t.height,t.weight)|plotting"
OnePlan,34,Pass,05.13.19,
OnePlan,35,Fail,05.26.19,DEV2.0|print(a)|a=transaction.address|retrive data
OnePlan,36,Fail,04.15.19,STG2.0| if i>5 |i=6 |decision control
OnePlan,37,Pass,08.21.19,
OnePlan,38,Pass,08.01.19,
OnePlan,39,Pass,06.30.19,
OnePlan,40,Fail,06.03.19,UAT2.0|if i>z|i=z|decision control
OnePlan,41,Fail,08.18.19,UAT2.0|values=list(names)|names=set(names.keys)|retriving
OnePlan,42,Pass,09.06.19,
OnePlan,43,Pass,04.04.19,
OnePlan,44,Pass,09.04.19,
OnePlan,45,Fail,06.01.19,"DEV2.0|df.read_csv(""bal.csv"")|bal=nan|Importing file"
OnePlan,46,Fail,09.26.19,"STG2.0|for i in range(0,len(book))|book=list(transactions)|looping"
OnePlan,47,Fail,08.25.19,"DEV2.0|plt.plot(q,r)|q,r =(t.height,t.weight)|plotting"
OnePlan,48,Pass,07.27.19,
OnePlan,49,Pass,04.03.19,
OnePlan,50,Pass,06.23.19,
OnePlan,51,Fail,07.06.19,"STG2.0|for i,j in range()|j=dict(age)|looping"
OnePlan,52,Fail,05.20.19,"UAT2.0|for y,z in list:|list=(df.weight, df.shape[1])|looping"
OnePlan,53,Fail,08.06.19,"PROD2.0| pd.DataFrame(data)| data={address:a,value:12000}| initiating data frame"
OnePlan,54,Fail,04.16.19,"UAT2.0|add(balance,tranc):|balance=address.getvalue();|updating balance"
OnePlan,55,Fail,08.12.19,"PROD2.0|client.post_telemetry(navsat_msg, compass_msg)|client=""solidity_tran.sol""|replacing"
OnePlan,56,Fail,04.13.19,UAT2.0|form.submit(name[0])|name=get(name.values)|retriving
OnePlan,57,Pass,08.11.19,
OnePlan,58,Pass,06.07.19,
OnePlan,59,Pass,09.09.19,
OnePlan,60,Fail,07.27.19,STG2.0|print(bal)|bal=np.nan|printing
OnePlan,61,Fail,04.09.19,"STG2.0|for i in Age|i={name,age}|looping"
OnePlan,62,Pass,09.04.19,
OnePlan,63,Pass,09.08.19,
OnePlan,64,Pass,05.09.19,
OnePlan,65,Pass,08.24.19,
OnePlan,66,Pass,05.04.19,
OnePlan,67,Pass,04.03.19,
OnePlan,68,Fail,04.18.19,"UAT2.0|if key==""password"":|password=""admin""|authenticate"
OnePlan,69,Fail,08.26.19,"DEV2.0|for val in ""str1"": |str=tranc('title')|iteration"
OnePlan,70,Fail,09.22.19,"PROD2.0|uname=account.get(name)|account.name=""hjkma""|Coloring"
OnePlan,71,Pass,04.23.19,
OnePlan,72,Pass,08.01.19,
OnePlan,73,Fail,07.06.19,"UAT2.0| a=pd.readcsv(filename)| filename=""testcase.csv""|reading"
OnePlan,74,Pass,05.12.19,
OnePlan,75,Fail,06.08.19,"DEV2.0|for val in ""str1"": |str=tranc('title')|iteration"
OnePlan,76,Pass,09.23.19,
OnePlan,77,Fail,04.18.19,"DEV2.0|print(""sum is"",a+b)|a=b=nan|retrive data"
OnePlan,78,Fail,08.02.19,STG2.0| if i>5 |i=6 |decision control
OnePlan,79,Pass,06.14.19,
OnePlan,80,Fail,05.14.19,"DEV2.0|data = pd.read_csv(usecase)|usecase=""file.csv""|reading"
OnePlan,81,Fail,07.22.19,DEV2.0|print(df)|df=address.dataframe|retrive data
OnePlan,82,Pass,08.05.19,
OnePlan,83,Fail,07.07.19,UAT2.0|form.submit(name[0])|name=get(name.values)|retriving
OnePlan,84,Fail,04.20.19,PROD2.0|for i in n:|i++|looping
OnePlan,85,Pass,08.18.19,
OnePlan,86,Pass,04.30.19,
OnePlan,87,Fail,05.21.19,"PROD2.0|filename.replace(""_"","""")|filename=""solidity_tranc.sol""|replacing"
OnePlan,88,Fail,05.04.19,"PROD2.0|uname=account.get(name)|account.name=""hjkma""|Coloring"
OnePlan,89,Fail,07.04.19,PROD2.0|Not compatible with framework version|framework version= tensorflow 1.2 |Updating
OnePlan,90,Pass,08.12.19,
OnePlan,91,Fail,08.04.19,"PROD2.0|client.post_telemetry(navsat_msg, compass_msg)|client=""solidity_tran.sol""|replacing"
OnePlan,92,Pass,09.22.19,
OnePlan,93,Pass,06.27.19,
OnePlan,94,Fail,07.22.19,"UAT2.0|for y,z in list:|list=(df.weight, df.shape[1])|looping"
OnePlan,95,Pass,09.11.19,
OnePlan,96,Pass,09.22.19,
OnePlan,97,Fail,08.11.19,UAT2.0|while i>6|i<5|validation
OnePlan,98,Pass,04.22.19,
OnePlan,99,Pass,07.22.19,
OnePlan,100,Pass,06.20.19,
OnePlan,101,Pass,09.08.19,
OnePlan,102,Fail,07.16.19,"DEV2.0| for x,d in tup:| tup=(data.Height, data.shape[0])|looping"
OnePlan,103,Pass,09.13.19,
OnePlan,104,Pass,05.14.19,
OnePlan,105,Fail,06.01.19,"UAT2.0|add(balance,tranc):|balance=address.getvalue();|updating balance"
OnePlan,106,Pass,05.27.19,
OnePlan,107,Fail,05.03.19,UAT2.0|if i<8|i=0|decision control
OnePlan,108,Pass,07.22.19,
OnePlan,109,Pass,04.06.19,
OnePlan,110,Pass,05.02.19,
OnePlan,111,Fail,07.18.19,DEV2.0|print(df)|df=address.dataframe|retrive data
OnePlan,112,Fail,06.28.19,"DEV2.0|plt.plot(x,y)|x,y =(trans.address,trans.values)|plotting"
OnePlan,113,Pass,07.07.19,
OnePlan,114,Fail,08.15.19,"UAT2.0|for y,z in list:|list=(df.weight, df.shape[1])|looping"
OnePlan,115,Pass,06.01.19,
OnePlan,116,Pass,09.04.19,
OnePlan,117,Pass,08.24.19,
OnePlan,118,Pass,06.04.19,
OnePlan,119,Fail,08.27.19,"STG2.0|for i,j in range()|j=dict(age)|looping"
OnePlan,120,Fail,08.31.19,DEV2.0|print(df)|df=address.dataframe|retrive data
OnePlan,121,Pass,07.12.19,
OnePlan,122,Fail,09.01.19,"PROD2.0|data.replace(data.Name, 'NA')|Name=nan|manipulating data"
OnePlan,123,Pass,06.27.19,
OnePlan,124,Fail,06.07.19,"PROD2.0|data.replace(data.Name, 'NA')|Name=nan|manipulating data"
OnePlan,125,Pass,08.15.19,
OnePlan,126,Fail,04.08.19,DEV2.0|print(df)|df=address.dataframe|retrive data
OnePlan,127,Pass,05.16.19,
OnePlan,128,Pass,09.22.19,
OnePlan,129,Pass,08.14.19,
OnePlan,130,Fail,06.11.19,STG2.0|while var >! 0:  |var=balance|validation
OnePlan,131,Pass,04.04.19,
OnePlan,132,Fail,05.11.19,"STG2.0|for i in Age|i={name,age}|looping"
OnePlan,133,Pass,06.08.19,
OnePlan,134,Pass,08.27.19,
OnePlan,135,Pass,06.23.19,
OnePlan,136,Pass,04.02.19,
OnePlan,137,Fail,06.21.19,"DEV2.0| for x,d in tup:| tup=(data.Height, data.shape[0])|looping"
OnePlan,138,Pass,09.24.19,
OnePlan,139,Fail,09.17.19,UAT2.0|values=list(names)|names=set(names.keys)|retriving
OnePlan,140,Fail,09.13.19,STG2.0|print(bal)|bal=np.nan|printing
OnePlan,141,Pass,05.29.19,
OnePlan,142,Fail,05.08.19,DEV2.0|fig.show()|fig=ax.plot(data)|displaying
OnePlan,143,Fail,05.14.19,STG2.0| if i>5 |i=6 |decision control
OnePlan,144,Fail,06.05.19,"UAT2.0|if key==""password"":|password=""admin""|authenticate"
OnePlan,145,Pass,04.23.19,
OnePlan,146,Fail,04.07.19,"PROD2.0|filename.replace(""_"","""")|filename=""solidity_tranc.sol""|replacing"
OnePlan,147,Pass,07.17.19,
OnePlan,148,Fail,06.02.19,STG2.0|while var >! 0:  |var=balance|validation
OnePlan,149,Pass,04.20.19,
OnePlan,150,Pass,04.05.19,
OnePlan,151,Pass,08.06.19,
OnePlan,152,Pass,07.01.19,
OnePlan,153,Pass,09.24.19,
OnePlan,154,Pass,06.21.19,
OnePlan,155,Fail,04.10.19,STG2.0|while var >! 0:  |var=balance|validation
OnePlan,156,Pass,07.02.19,
OnePlan,157,Pass,09.28.19,
OnePlan,158,Pass,04.07.19,
OnePlan,159,Pass,08.29.19,
OnePlan,160,Fail,05.05.19,"STG2.0|for i in range(0,bal)|bal=tuple(tran)|looping"
OnePlan,161,Pass,09.04.19,
OnePlan,162,Fail,07.28.19,STG2.0|while var >! 0:  |var=balance|validation
OnePlan,163,Pass,08.15.19,
OnePlan,164,Pass,08.27.19,
OnePlan,165,Fail,05.07.19,UAT2.0|while i>6|i<5|validation
OnePlan,166,Fail,09.01.19,"DEV2.0|data = pd.read_csv(usecase)|usecase=""file.csv""|reading"
OnePlan,167,Fail,04.14.19,PROD2.0|fig.shape()|fig=fg.plot(df)|vizualisation
OnePlan,168,Fail,05.24.19,"UAT2.0|if key==""password"":|password=""admin""|authenticate"
OnePlan,169,Fail,04.12.19,UAT2.0|values=list(names)|names=set(names.keys)|retriving
OnePlan,170,Pass,07.27.19,
OnePlan,171,Fail,06.13.19,"DEV2.0|df = df[df['Android'] != np.nan]|Android={version:v,value:2}|renaming"
OnePlan,172,Pass,07.20.19,
OnePlan,173,Pass,05.10.19,
OnePlan,174,Pass,09.01.19,
OnePlan,175,Fail,08.21.19,DEV2.0|fig.show()|fig=ax.plot(data)|displaying
OnePlan,176,Pass,05.28.19,
OnePlan,177,Fail,07.13.19,"DEV2.0|print(""sum is"",a+b)|a=b=nan|retrive data"
OnePlan,178,Fail,06.18.19,UAT2.0|form.submit(name[0])|name=get(name.values)|retriving
OnePlan,179,Fail,08.25.19,DEV2.0|print(df)|df=address.dataframe|retrive data
OnePlan,180,Fail,04.16.19,"STG2.0|for i in range(0,bal)|bal=tuple(tran)|looping"
OnePlan,181,Fail,08.30.19,"PROD2.0|data.replace(data.Name, 'NA')|Name=nan|manipulating data"
OnePlan,182,Pass,04.10.19,
OnePlan,183,Fail,07.05.19,"PROD2.0|client.post_telemetry(navsat_msg, compass_msg)|client=""solidity_tran.sol""|replacing"
OnePlan,184,Pass,08.29.19,
OnePlan,185,Fail,05.15.19,DEV2.0|fig.show()|fig=ax.plot(data)|displaying
OnePlan,186,Fail,06.01.19,"UAT2.0|if key==""password"":|password=""admin""|authenticate"
OnePlan,187,Fail,07.09.19,"DEV2.0|plt.plot(q,r)|q,r =(t.height,t.weight)|plotting"
OnePlan,188,Pass,09.17.19,
OnePlan,189,Pass,09.18.19,
OnePlan,190,Fail,07.21.19,"UAT2.0|add(balance,tranc):|balance=address.getvalue();|updating balance"
OnePlan,191,Pass,04.27.19,
OnePlan,192,Fail,07.16.19,"UAT2.0| a=pd.readcsv(filename)| filename=""testcase.csv""|reading"
VPlan,1,Fail,07.30.19,"UAT2.0|if key==""password"":|password=""admin""|authenticate"
VPlan,2,Fail,07.29.19,STG2.0| if i>5 |i=6 |decision control
VPlan,3,Fail,08.13.19,"UAT2.0|if key==""password"":|password=""admin""|authenticate"
VPlan,4,Fail,06.22.19,"DEV2.0| for x,d in tup:| tup=(data.Height, data.shape[0])|looping"
VPlan,5,Pass,05.31.19,
VPlan,6,Pass,05.01.19,
VPlan,7,Pass,06.14.19,
VPlan,8,Fail,07.25.19,"DEV2.0|plt.plot(q,r)|q,r =(t.height,t.weight)|plotting"
VPlan,9,Pass,07.02.19,
VPlan,10,Pass,07.03.19,
VPlan,11,Pass,08.26.19,
VPlan,12,Pass,04.18.19,
VPlan,13,Fail,08.15.19,DEV2.0|print(a)|a=transaction.address|retrive data
VPlan,14,Fail,05.22.19,"DEV2.0|data = pd.read_csv(usecase)|usecase=""file.csv""|reading"
VPlan,15,Pass,05.16.19,
VPlan,16,Fail,05.16.19,"DEV2.0|for val in ""str1"": |str=tranc('title')|iteration"
VPlan,17,Pass,07.17.19,
VPlan,18,Fail,07.27.19,PROD2.0|Not compatible with framework version|framework version= tensorflow 1.2 |Updating
VPlan,19,Fail,06.08.19,"UAT2.0|add(balance,tranc):|balance=address.getvalue();|updating balance"
VPlan,20,Pass,08.11.19,
VPlan,21,Fail,09.22.19,"DEV2.0|print(data.[""Name""])|Name=123456|retrive data"
VPlan,22,Fail,08.21.19,"DEV2.0|for val in ""str1"": |str=tranc('title')|iteration"
VPlan,23,Pass,04.05.19,
VPlan,24,Fail,04.16.19,"UAT2.0|add(balance,tranc):|balance=address.getvalue();|updating balance"
VPlan,25,Fail,09.13.19,"DEV2.0|df = df[df['Android'] != np.nan]|Android={version:v,value:2}|renaming"
VPlan,26,Fail,04.29.19,"STG2.0|for i in range(0,len(book))|book=list(transactions)|looping"
VPlan,27,Fail,09.11.19,"DEV2.0|plt.plot(q,r)|q,r =(t.height,t.weight)|plotting"
VPlan,28,Pass,08.26.19,
VPlan,29,Fail,04.21.19,"STG2.0|for x in range(10,len(dir))|dir=tuple(tran)|looping"
VPlan,30,Fail,07.05.19,"DEV2.0|df = df[df['Android'] != np.nan]|Android={version:v,value:2}|renaming"
VPlan,31,Fail,09.05.19,DEV2.0| print(balance)|balance=np.nan| printing
VPlan,32,Fail,09.23.19,"STG2.0|for i in Age|i={name,age}|looping"
VPlan,33,Pass,06.21.19,
VPlan,34,Pass,09.28.19,
VPlan,35,Pass,09.11.19,
VPlan,36,Pass,06.06.19,
VPlan,37,Fail,05.20.19,"DEV2.0|print(data.[""Name""])|Name=123456|retrive data"
VPlan,38,Pass,07.31.19,
VPlan,39,Fail,08.04.19,"STG2.0|for i in range(0,bal)|bal=tuple(tran)|looping"
VPlan,40,Fail,04.21.19,"PROD2.0|plt.show(x,y)|x,y=(tr.address,tr.keys)|visualising"
VPlan,41,Pass,07.21.19,
VPlan,42,Pass,08.26.19,
VPlan,43,Fail,06.23.19,"DEV2.0|print(data.[""Name""])|Name=123456|retrive data"
VPlan,44,Fail,08.05.19,DEV2.0|fig.show()|fig=ax.plot(data)|displaying
VPlan,45,Pass,09.16.19,
VPlan,46,Fail,05.23.19,"STG2.0|for x in range(10,len(dir))|dir=tuple(tran)|looping"
VPlan,47,Pass,07.02.19,
VPlan,48,Fail,08.04.19,"DEV2.0|df.read_csv(""bal.csv"")|bal=nan|Importing file"
VPlan,49,Pass,08.13.19,
VPlan,50,Pass,09.10.19,
VPlan,51,Fail,05.13.19,"UAT2.0|if name==""input"":|input=""John""|validation"
VPlan,52,Fail,04.08.19,PROD2.0|for i in n:|i++|looping
VPlan,53,Fail,09.22.19,STG2.0|while var >! 0:  |var=balance|validation
VPlan,54,Fail,05.29.19,"STG2.0|for i in range(0,bal)|bal=tuple(tran)|looping"
VPlan,55,Fail,05.28.19,PROD2.0|print(('python')*a)|a=name.value|retrieve data
VPlan,56,Fail,09.16.19,"STG2.0|for i,j in range()|j=dict(age)|looping"
VPlan,57,Pass,07.11.19,
VPlan,58,Pass,09.30.19,
VPlan,59,Pass,09.12.19,
VPlan,60,Fail,05.04.19,"UAT2.0|if key==""password"":|password=""admin""|authenticate"
VPlan,61,Fail,06.27.19,"DEV2.0|df = df[df['Android'] != np.nan]|Android={version:v,value:2}|renaming"
VPlan,62,Fail,08.16.19,"STG2.0|for i,j in range()|j=dict(age)|looping"
VPlan,63,Fail,06.08.19,"STG2.0|for x in range(10,len(dir))|dir=tuple(tran)|looping"
VPlan,64,Pass,07.08.19,
VPlan,65,Fail,07.30.19,PROD2.0|Not compatible with framework version|framework version= tensorflow 1.2 |Updating
VPlan,66,Pass,08.15.19,
VPlan,67,Fail,04.25.19,"PROD2.0|uname=account.get(name)|account.name=""hjkma""|Coloring"
VPlan,68,Pass,08.02.19,
VPlan,69,Fail,08.06.19,"STG2.0|for i,j in range()|j=dict(age)|looping"
VPlan,70,Pass,07.06.19,
VPlan,71,Pass,08.08.19,
VPlan,72,Fail,07.10.19,"STG2.0|for x in range(10,len(dir))|dir=tuple(tran)|looping"
VPlan,73,Fail,07.06.19,"DEV2.0|plt.plot(q,r)|q,r =(t.height,t.weight)|plotting"
VPlan,74,Fail,05.30.19,UAT2.0|if i>z|i=z|decision control
VPlan,75,Fail,04.09.19,PROD2.0|Not compatible with framework version|framework version= tensorflow 1.2 |Updating
VPlan,76,Pass,09.14.19,
VPlan,77,Pass,07.26.19,
VPlan,78,Fail,08.23.19,"DEV2.0|print(data.[""Name""])|Name=123456|retrive data"
VPlan,79,Pass,06.23.19,
VPlan,80,Fail,05.29.19,"DEV2.0|plt.plot(q,r)|q,r =(t.height,t.weight)|plotting"
VPlan,81,Fail,07.12.19,"PROD2.0| pd.DataFrame(data)| data={address:a,value:12000}| initiating data frame"
VPlan,82,Fail,04.18.19,UAT2.0|form.submit(name[0])|name=get(name.values)|retriving
VPlan,83,Pass,08.27.19,
VPlan,84,Pass,09.25.19,
VPlan,85,Fail,05.20.19,"PROD2.0|filename.replace(""_"","""")|filename=""solidity_tranc.sol""|replacing"
VPlan,86,Fail,08.28.19,UAT2.0|if i<8|i=0|decision control
VPlan,87,Pass,07.05.19,
VPlan,88,Pass,04.08.19,
VPlan,89,Pass,07.07.19,
VPlan,90,Fail,07.27.19,DEV2.0|print(a)|a=transaction.address|retrive data
VPlan,91,Fail,09.17.19,"UAT2.0|if key==""password"":|password=""admin""|authenticate"
VPlan,92,Pass,08.04.19,
VPlan,93,Fail,07.28.19,PROD2.0|for i in n:|i++|looping
VPlan,94,Fail,05.04.19,"STG2.0|for i,j in range()|j=dict(age)|looping"
VPlan,95,Fail,06.29.19,"STG2.0|if value==""username"":|username=""user""|authenticate"
VPlan,96,Pass,04.15.19,
VPlan,97,Pass,07.08.19,
VPlan,98,Fail,04.04.19,STG2.0|print(bal)|bal=np.nan|printing
VPlan,99,Fail,06.06.19,"PROD2.0|client.post_telemetry(navsat_msg, compass_msg)|client=""solidity_tran.sol""|replacing"
VPlan,100,Pass,09.01.19,
VPlan,101,Pass,05.27.19,
VPlan,102,Pass,04.05.19,
VPlan,103,Fail,07.24.19,STG2.0| if i>5 |i=6 |decision control
VPlan,104,Pass,05.10.19,
VPlan,105,Fail,09.26.19,DEV2.0|fig.show()|fig=ax.plot(data)|displaying
VPlan,106,Pass,04.06.19,
VPlan,107,Pass,09.24.19,
VPlan,108,Pass,04.22.19,
VPlan,109,Pass,09.17.19,
VPlan,110,Fail,05.17.19,UAT2.0|while i>6|i<5|validation
VPlan,111,Fail,09.08.19,"STG2.0|for i in range(0,bal)|bal=tuple(tran)|looping"
VPlan,112,Pass,04.10.19,
VPlan,113,Pass,06.18.19,
VPlan,114,Fail,04.11.19,"STG2.0|for x in range(10,len(dir))|dir=tuple(tran)|looping"
VPlan,115,Pass,08.06.19,
VPlan,116,Fail,09.13.19,STG2.0| if i>5 |i=6 |decision control
VPlan,117,Pass,07.05.19,
VPlan,118,Fail,09.06.19,"PROD2.0|uname=account.get(name)|account.name=""hjkma""|Coloring"
VPlan,119,Fail,07.20.19,"STG2.0|for x in range(10,len(dir))|dir=tuple(tran)|looping"
VPlan,120,Pass,07.08.19,
VPlan,121,Fail,04.28.19,"DEV2.0|plt.plot(q,r)|q,r =(t.height,t.weight)|plotting"
VPlan,122,Fail,04.05.19,"UAT2.0|if name==""input"":|input=""John""|validation"
VPlan,123,Fail,04.04.19,"PROD2.0|plt.show(x,y)|x,y=(tr.address,tr.keys)|visualising"
VPlan,124,Pass,04.03.19,
VPlan,125,Fail,07.12.19,"UAT2.0|for y,z in list:|list=(df.weight, df.shape[1])|looping"
VPlan,126,Pass,06.22.19,
VPlan,127,Fail,08.21.19,"PROD2.0|plt.show(x,y)|x,y=(tr.address,tr.keys)|visualising"
VPlan,128,Pass,05.05.19,
VPlan,129,Pass,07.14.19,
VPlan,130,Pass,09.30.19,
VPlan,131,Fail,05.27.19,DEV2.0| print(balance)|balance=np.nan| printing
VPlan,132,Pass,05.01.19,
VPlan,133,Fail,08.01.19,"STG2.0|for i in Age|i={name,age}|looping"
VPlan,134,Pass,05.05.19,
VPlan,135,Fail,04.19.19,"DEV2.0| for x,d in tup:| tup=(data.Height, data.shape[0])|looping"
VPlan,136,Fail,05.27.19,DEV2.0|print(a)|a=transaction.address|retrive data
VPlan,137,Fail,05.13.19,"DEV2.0|print(""sum is"",a+b)|a=b=nan|retrive data"
VPlan,138,Fail,06.20.19,PROD2.0|for i in n:|i++|looping
VPlan,139,Pass,09.14.19,
VPlan,140,Pass,09.23.19,
VPlan,141,Fail,08.17.19,PROD2.0|Not compatible with framework version|framework version= tensorflow 1.2 |Updating
VPlan,142,Fail,05.21.19,DEV2.0| print(balance)|balance=np.nan| printing
VPlan,143,Pass,06.20.19,
VPlan,144,Fail,06.30.19,"STG2.0|for i in range(0,bal)|bal=tuple(tran)|looping"
VPlan,145,Pass,04.06.19,
VPlan,146,Pass,04.28.19,
VPlan,147,Fail,07.31.19,"DEV2.0|plt.show(a,d)|a,d=(df.keys,df.values)|plotting"
VPlan,148,Fail,05.20.19,UAT2.0|if i<8|i=0|decision control
VPlan,149,Fail,06.14.19,"STG2.0|for i,j in range()|j=dict(age)|looping"
VPlan,150,Pass,04.01.19,
VPlan,151,Fail,05.27.19,"DEV2.0|plt.plot(q,r)|q,r =(t.height,t.weight)|plotting"
VPlan,152,Fail,04.10.19,"PROD2.0|client.post_telemetry(navsat_msg, compass_msg)|client=""solidity_tran.sol""|replacing"
VPlan,153,Fail,05.27.19,"PROD2.0|plt.show(x,y)|x,y=(tr.address,tr.keys)|visualising"
VPlan,154,Fail,04.20.19,"DEV2.0|print(""sum is"",a+b)|a=b=nan|retrive data"
VPlan,155,Fail,09.04.19,"PROD2.0|filename.replace(""_"","""")|filename=""solidity_tranc.sol""|replacing"
VPlan,156,Fail,09.25.19,STG2.0|while var >! 0:  |var=balance|validation
VPlan,157,Fail,05.29.19,"DEV2.0|df.read_csv(""bal.csv"")|bal=nan|Importing file"
VPlan,158,Pass,07.25.19,
VPlan,159,Fail,09.08.19,"DEV2.0|df.read_csv(""bal.csv"")|bal=nan|Importing file"
VPlan,160,Pass,04.01.19,
VPlan,161,Fail,08.22.19,"PROD2.0|uname=account.get(name)|account.name=""hjkma""|Coloring"
VPlan,162,Fail,07.14.19,"UAT2.0|if name==""input"":|input=""John""|validation"
VPlan,163,Pass,07.15.19,
VPlan,164,Pass,07.27.19,
VPlan,165,Pass,04.08.19,
VPlan,166,Pass,07.27.19,
VPlan,167,Fail,05.28.19,PROD2.0|print(('python')*a)|a=name.value|retrieve data
VPlan,168,Fail,05.27.19,STG2.0|print(bal)|bal=np.nan|printing
VPlan,169,Pass,05.16.19,
VPlan,170,Fail,08.06.19,"STG2.0|for i,j in range()|j=dict(age)|looping"
VPlan,171,Fail,07.02.19,"PROD2.0|plt.show(x,y)|x,y=(tr.address,tr.keys)|visualising"
VPlan,172,Fail,09.09.19,"DEV2.0|print(data.[""Name""])|Name=123456|retrive data"
VPlan,173,Fail,04.20.19,PROD2.0|for i in n:|i++|looping
VPlan,174,Fail,05.11.19,PROD2.0|Not compatible with framework version|framework version= tensorflow 1.2 |Updating
VPlan,175,Pass,06.13.19,
VPlan,176,Pass,09.14.19,
VPlan,177,Fail,06.09.19,"DEV2.0|plt.plot(x,y)|x,y =(trans.address,trans.values)|plotting"
VPlan,178,Pass,08.22.19,
VPlan,179,Pass,04.09.19,
VPlan,180,Pass,06.28.19,
VPlan,181,Fail,07.27.19,"UAT2.0|if key==""password"":|password=""admin""|authenticate"
VPlan,182,Pass,08.31.19,
VPlan,183,Pass,09.12.19,
VPlan,184,Fail,07.12.19,"DEV2.0|for val in ""str1"": |str=tranc('title')|iteration"
VPlan,185,Fail,04.15.19,"DEV2.0|df = df[df['Android'] != np.nan]|Android={version:v,value:2}|renaming"
VPlan,186,Fail,04.24.19,PROD2.0|fig.shape()|fig=fg.plot(df)|vizualisation
